,param,seed,alpha,df,asymmetry,straightness,gaussianity,efficiency,mod_int
104,0.1,208209,0.05,3.17,0.0313,0.0007,61.305,0.0,0
105,0.1,210211,0.03,3.14,0.0213,0.0063,67.8732,0.0,0
106,0.1,212213,0.21,3.2,0.0318,0.002,79.8422,0.0,0
107,0.1,214215,-0.02,3.2,0.0299,0.0014,75.4601,0.0,0
108,0.1,216217,0.15,3.07,0.0071,0.0035,79.8023,0.0,0
109,0.1,218219,0.09,3.25,0.0189,0.0043,81.5193,0.0,0
110,0.1,220221,-0.06,3.19,0.0211,0.0036,76.9487,0.0,0
111,0.1,222223,0.12,2.87,0.0094,0.0011,72.8706,0.0,0
112,0.1,224225,0.08,3.06,0.0137,0.0021,90.1998,0.0,0
113,0.1,226227,-0.04,3.1,0.0843,0.0031,80.3252,0.0,0
114,0.1,228229,0.02,2.91,0.0023,0.0055,82.51100000000001,0.0,0
115,0.1,230231,0.08,3.03,0.0465,0.0011,74.7651,0.0,0
116,0.1,232233,0.02,3.15,0.0492,0.0035,78.9385,0.0,0
117,0.1,234235,0.04,3.2,0.06,0.006,71.9381,0.0,0
118,0.1,236237,-0.03,3.16,0.0037,0.0043,88.8688,0.0,0
119,0.1,238239,0.13,3.05,0.0346,0.0015,83.6993,0.0,0
120,0.1,240241,0.18,3.23,0.0312,0.0034,71.6126,0.0,0
121,0.1,242243,0.17,3.21,0.0118,0.0028,81.5826,0.0,0
122,0.1,244245,0.11,3.09,0.0058,0.0013,71.1738,0.0,0
123,0.1,246247,0.17,3.14,0.0408,0.0023,64.5044,0.0,0
124,0.1,248249,-0.01,3.35,0.0018,0.0029,71.2738,0.0,0
125,0.1,250251,0.16,3.2,0.0209,0.0031,88.9974,0.0,0
126,0.1,252253,0.14,3.37,0.0044,0.0019,82.6605,0.0,0
127,0.1,254255,-0.04,3.17,0.0076,0.0041,75.8414,0.0,0
128,0.1,256257,0.08,3.08,0.0127,0.0013,68.3237,0.0,0
129,0.1,258259,0.14,3.16,0.0044,0.0044,81.5566,0.0,0
130,0.1,260261,0.1,3.16,0.077,0.0015,105.4204,0.0,0
131,0.1,262263,0.08,3.21,0.0392,0.0048,85.6956,0.0,0
132,0.1,264265,0.16,3.09,0.0548,0.0051,70.8692,0.0,0
133,0.1,266267,0.02,3.05,0.0049,0.0028,72.1809,0.0,0
134,0.1,268269,0.12,3.29,0.0336,0.0011,65.6745,0.0,0
135,0.1,270271,0.0,3.15,0.0986,0.008,67.7727,0.0,0
136,0.1,272273,0.11,3.18,0.0618,0.002,75.4177,0.0,0
137,0.1,274275,-0.04,3.12,0.0063,0.0038,82.2194,0.0,0
